epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,19473.4,0.61422,0.4662,1.09357,0.9459,0.93924,0.95868,0.7899,0.80405,0.46927,1.34275,0.002773,0.002773,0.002773
75,19603.8,0.61227,0.45782,1.0975,0.9373,0.9406,0.95778,0.79166,0.80728,0.44976,1.35701,0.002674,0.002674,0.002674
76,19734.9,0.60947,0.45938,1.09993,0.95001,0.93936,0.95927,0.79574,0.80223,0.44759,1.34876,0.002575,0.002575,0.002575
77,19864.9,0.60608,0.45192,1.10042,0.94539,0.9503,0.95938,0.79504,0.81286,0.43966,1.3449,0.002476,0.002476,0.002476
78,19995,0.58744,0.43842,1.07865,0.93368,0.94474,0.95691,0.79005,0.80379,0.4555,1.34745,0.002377,0.002377,0.002377
79,20125.1,0.59303,0.45046,1.07987,0.94585,0.94719,0.96469,0.79519,0.81551,0.44361,1.35897,0.002278,0.002278,0.002278
80,20255.3,0.58185,0.43884,1.07788,0.94655,0.94347,0.9637,0.79555,0.80776,0.43972,1.36805,0.002179,0.002179,0.002179
81,20384.8,0.57559,0.42625,1.07313,0.95861,0.94246,0.96321,0.80018,0.8085,0.43389,1.36053,0.00208,0.00208,0.00208
82,20515,0.56781,0.42621,1.06234,0.94966,0.94236,0.96154,0.79398,0.80622,0.43214,1.35102,0.001981,0.001981,0.001981
83,20645.2,0.56837,0.42249,1.06813,0.96032,0.93809,0.96386,0.79681,0.81318,0.43566,1.35779,0.001882,0.001882,0.001882
84,20775.8,0.56028,0.41857,1.06652,0.954,0.93406,0.96345,0.80004,0.80855,0.44753,1.3608,0.001783,0.001783,0.001783
85,20905.3,0.55613,0.42125,1.05885,0.95574,0.94435,0.96674,0.79788,0.81076,0.43578,1.36179,0.001684,0.001684,0.001684
86,21035.5,0.54254,0.40546,1.04689,0.95396,0.93717,0.96675,0.80137,0.8142,0.4391,1.36893,0.001585,0.001585,0.001585
87,21165.8,0.54547,0.4086,1.04675,0.96066,0.93398,0.9664,0.80358,0.80553,0.42402,1.36715,0.001486,0.001486,0.001486
88,21296,0.53072,0.39099,1.0452,0.9578,0.94369,0.96602,0.79935,0.80409,0.43213,1.37386,0.001387,0.001387,0.001387
89,21425.8,0.52178,0.38758,1.04094,0.95274,0.94296,0.96291,0.79969,0.79469,0.40876,1.35991,0.001288,0.001288,0.001288
90,21556.9,0.52329,0.39972,1.04439,0.95236,0.94159,0.96241,0.79798,0.7974,0.41475,1.35606,0.001189,0.001189,0.001189
